Trial Configuration,Exact Energy,Ideal Energy,Noisy Energy,Ideal Error,Noisy Error,Depth,Swaps
P:1D_H:1D_COBYLA,-4.372281323269016,-3.878173828125,-2.821533203125,0.4941074951440161,1.550748120144016,8,0
P:1D_H:1D_SPSA,-4.372281323269016,-3.99609375,-2.73291015625,0.3761875732690161,1.639371167019016,8,0
P:1D_H:2D_COBYLA,-4.372281323269016,-4.083984375,-2.844482421875,0.2882969482690161,1.527798901394016,12,1
P:1D_H:2D_SPSA,-4.372281323269016,-3.561767578125,-1.95751953125,0.8105137451440161,2.414761792019016,10,1
P:2D_H:1D_COBYLA,-5.4641016151377535,-4.10986328125,-1.47802734375,1.3542383338877535,3.9860742713877535,25,6
P:2D_H:1D_SPSA,-5.4641016151377535,-4.46533203125,-1.6416015625,0.9987695838877535,3.8225000526377535,25,6
P:2D_H:2D_COBYLA,-5.4641016151377535,-4.2919921875,-3.421875,1.1721094276377535,2.0422266151377535,11,0
P:2D_H:2D_SPSA,-5.4641016151377535,-4.53173828125,-3.43505859375,0.9323633338877535,2.0290430213877535,11,0
